R2-PNH,35.56,31.75,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PNH1,81.28,36.83,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PNH2,66.04,20.32,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PNH3,72.39,8.89,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2USB1,50.80,64.77,90.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2USB2,44.45,57.15,90.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT,45.72,82.55,90.00,2k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT1,40.64,3.81,90.00,2k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,30.48,3.81,90.00,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,40.64,71.12,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,25.40,35.56,90.00,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,40.64,66.04,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,34.29,62.23,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,34.29,57.15,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,19.05,45.72,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,41.30,85.09,90.00,BUTTON_CUSYOMV1,MYBUTTON
SJ1,20.32,17.78,90.00,,SJ
TP1,35.56,68.58,90.00,TPTP20R,TP20R
TP10,25.40,29.21,90.00,TPTP20R,TP20R
TP11,35.56,73.66,90.00,TPTP20R,TP20R
TP12,25.40,22.86,90.00,TPTP20R,TP20R
TP13,25.40,16.51,90.00,TPTP20R,TP20R
TP14,25.40,10.16,90.00,TPTP20R,TP20R
TP15,25.40,3.81,90.00,TPTP20R,TP20R
TP16,31.75,83.82,90.00,TPTP20R,TP20R
TP17,35.56,80.01,90.00,TPTP20R,TP20R
TP2,35.56,63.50,90.00,TPTP20R,TP20R
TP3,29.21,59.69,90.00,TPTP20R,TP20R
TP4,29.21,50.80,90.00,TPTP20R,TP20R
TP5,20.32,41.91,90.00,TPTP20R,TP20R
TP6,20.32,36.83,90.00,TPTP20R,TP20R
TP7,20.32,31.75,90.00,TPTP20R,TP20R
TP8,20.32,26.67,90.00,TPTP20R,TP20R
TP9,20.32,21.59,90.00,TPTP20R,TP20R
U1,53.34,25.40,90.00,ESP32_WROVER_SPARKFUN-IC-POWER_MCP73831,ESP32_WROVER_SPARKFUN-IC-POWER_SOT23-5
U2,138.89,10.16,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U3,63.51,55.88,90.00,ESP32_WROVER_BME680_BME680,ESP32_WROVER_BME680_PSON80P300X300X100-8N
U4,54.61,8.89,90.00,MAX17048G+T10,SON50P200X200X80-9N
U5,62.23,71.24,90.00,DS3231SN#,SOIC127P1032X265-16N
U6,92.71,36.83,90.00,W25Q512JVEIQ,SON127P600X800X80-9N
